Study_Hours,Attendance,Assignments_Completed,Previous_Score,Final_Score
1.7,89,4,62,79.4
1.2,55,10,58,81.8
9.7,94,4,84,100.0
8.5,76,10,50,100.0
7.3,83,3,40,86.8
4.7,62,10,63,97.4
2.6,65,9,93,100.0
2.4,95,10,46,85.1
3.3,91,6,64,86.2
5.9,68,3,60,80.2
7.4,84,9,54,89.1
6.9,89,7,40,90.3
3.5,75,9,51,85.3
9.6,91,6,46,98.6
7.6,59,3,54,87.8
6.0,73,7,60,92.1
6.5,68,6,58,89.8
4.8,80,6,68,91.4
3.2,58,2,64,75.6
4.2,79,3,72,90.7
7.8,99,9,88,100.0
1.1,96,4,71,85.5
2.0,79,4,88,92.3
1.4,72,9,74,93.4
1.4,94,9,83,97.5
8.7,62,3,77,96.7
7.3,93,9,65,100.0
5.3,94,2,50,86.3
1.9,68,7,74,87.2
5.4,86,9,47,88.3
5.3,92,4,85,99.7
2.6,87,9,53,90.4
4.9,77,2,49,83.9
4.6,69,10,41,79.8
6.5,87,10,85,100.0
6.7,79,6,48,87.2
1.4,71,5,42,70.4
4.4,87,7,60,93.7
6.6,56,8,65,90.4
5.5,68,6,47,79.0
8.7,94,10,87,100.0
6.9,94,4,41,84.5
2.5,93,8,45,86.0
1.6,60,6,67,82.3
6.8,60,8,92,100.0
1.2,57,3,68,75.0
6.3,61,5,65,96.1
9.5,62,3,64,90.3
6.2,96,8,51,96.5
4.5,69,3,44,70.6
6.8,83,2,73,90.8
5.1,87,10,87,100.0
5.9,84,2,76,98.5
9.5,93,9,54,100.0
4.5,81,3,83,92.8
9.7,90,9,75,100.0
9.1,83,4,54,93.7
2.8,92,7,82,97.3
1.6,87,4,87,88.6
1.9,91,8,62,93.4
1.2,81,10,45,81.3
1.8,87,3,85,97.4
7.1,58,6,89,100.0
1.6,76,7,83,94.7
3.9,56,5,82,89.0
8.6,64,5,84,100.0
1.2,59,5,60,74.5
8.3,64,3,62,86.4
3.5,87,5,82,98.2
2.1,92,2,94,100.0
7.3,67,7,55,90.3
6.7,85,2,86,100.0
8.9,90,7,92,100.0
7.6,99,2,54,89.9
8.2,78,7,64,97.1
3.5,69,9,75,88.7
2.6,83,3,50,75.9
7.8,62,3,90,100.0
8.3,59,5,54,91.2
9.9,83,4,43,92.8
4.7,58,5,60,85.0
4.3,66,8,52,81.5
8.0,99,2,61,96.2
4.1,56,7,58,87.7
9.4,81,4,73,100.0
8.7,85,8,53,100.0
4.9,90,3,43,85.5
7.8,90,3,87,100.0
7.8,80,5,92,100.0
1.9,97,2,91,92.2
9.1,81,4,85,100.0
5.5,59,10,66,93.2
8.4,74,8,68,100.0
3.9,65,8,86,92.0
9.1,64,5,67,93.6
4.5,94,3,74,93.0
1.1,92,5,47,73.7
9.1,60,7,55,91.9
1.8,62,4,81,83.5
3.9,77,2,75,86.5
9.6,80,9,69,100.0
9.6,100,6,57,100.0
6.2,97,6,41,90.2
6.7,66,5,88,100.0
5.0,80,7,52,83.4
3.6,67,4,43,64.7
4.0,94,10,65,100.0
7.1,72,6,64,90.6
7.8,79,4,69,97.2
8.1,87,2,50,82.8
8.1,94,7,46,98.6
1.8,97,3,70,93.9
5.4,66,4,83,95.3
1.5,98,2,49,74.6
5.9,90,10,78,100.0
5.0,58,9,52,88.0
9.0,59,3,70,95.5
4.2,91,9,46,91.5
2.1,62,10,95,99.1
2.3,96,2,88,94.8
7.9,82,6,81,100.0
6.6,85,9,81,100.0
1.9,63,3,95,90.2
1.8,83,5,75,85.7
7.3,68,8,59,98.1
1.7,94,4,43,72.2
8.4,95,6,93,100.0
7.4,76,9,46,90.4
1.7,65,4,93,91.7
1.8,77,5,40,69.8
9.9,55,10,83,100.0
4.4,100,8,95,100.0
4.3,91,2,84,94.6
8.3,75,5,81,100.0
9.5,80,5,86,100.0
9.9,100,10,52,100.0
7.8,90,7,94,100.0
4.4,77,10,61,96.3
1.8,55,7,93,91.7
8.0,94,7,60,100.0
6.0,69,6,61,93.0
4.8,75,6,67,89.8
9.2,63,3,48,84.3
2.0,63,9,65,86.7
5.4,64,9,48,84.7
1.1,80,2,54,74.9
5.2,95,9,49,92.4
1.5,89,6,63,82.9
2.1,79,3,81,89.8
2.1,80,3,47,69.4
6.8,65,7,63,99.2
7.7,92,10,55,100.0
6.3,56,2,88,95.3
9.7,61,7,65,100.0
4.4,72,10,66,96.4
3.6,81,9,76,97.0
8.8,88,7,43,94.5
3.0,81,4,89,92.7
9.7,71,9,63,100.0
1.1,97,10,58,92.5
9.7,98,2,75,100.0
1.4,78,10,78,93.6
9.0,79,7,49,91.1
5.7,61,7,64,94.6
9.9,60,5,57,91.6
1.7,78,2,58,74.4
6.0,87,9,75,100.0
9.7,83,3,49,92.0
5.7,97,2,72,96.5
6.7,76,3,94,100.0
7.3,80,2,89,98.3
5.1,82,2,44,73.1
6.6,75,10,86,100.0
6.3,61,2,88,92.0
9.1,71,5,74,100.0
1.4,74,7,83,96.1
3.5,95,8,73,97.3
9.6,74,3,72,98.2
9.0,76,7,94,100.0
5.1,82,8,60,92.0
6.6,94,3,56,89.7
3.5,61,3,61,79.7
2.7,55,8,87,96.8
5.2,86,2,76,95.6
4.2,67,9,54,93.0
6.3,84,4,74,98.3
1.7,77,7,67,93.0
9.8,73,10,46,96.0
9.9,86,7,71,100.0
